
DateTime,PPG,X,Y,Z,
1635923739506,254,76,289,1324,
1635923739513,282,77,289,1323,
1635923739522,268,76,288,1323,
1635923739532,251,78,291,1321,
1635923739542,253,78,290,1323,
1635923739552,299,76,289,1322,
1635923739562,251,76,288,1325,
1635923739562,233,75,289,1323,
1635923739562,270,75,289,1323,
1635923739562,470,79,289,1323,
1635923739562,451,77,289,1325,
1635923739562,280,76,290,1324,
1635923739562,295,75,289,1325,
1635923739562,259,77,288,1325,
1635923739562,461,78,290,1323,
1635923739562,237,78,290,1323,
1635923739562,227,74,287,1324,
1635923739566,335,74,287,1324,
1635923739571,468,74,287,1324,
1635923739576,256,76,289,1323,
1635923739581,265,77,290,1321,
1635923739586,289,77,289,1323,
1635923739586,256,75,289,1323,
1635923739586,262,77,289,1323,
1635923739587,268,77,288,1324,
1635923739587,262,77,288,1324,
1635923739588,231,77,289,1323,
1635923739595,259,77,289,1323,
1635923739602,273,76,289,1323,
1635923739609,249,79,290,1324,
1635923739616,276,77,290,1323,
1635923739623,266,75,290,1323,
1635923739624,295,75,289,1323,
1635923739626,230,77,290,1323,
1635923739627,258,77,288,1324,
1635923739629,237,77,288,1322,
1635923739631,242,77,288,1322,
1635923739637,265,77,288,1322,
1635923739644,266,76,290,1323,
1635923739651,283,77,290,1323,
1635923739658,275,78,291,1322,
1635923739665,296,77,290,1323,
1635923739665,231,77,290,1323,
1635923739665,226,77,290,1323,
1635923739665,296,77,290,1323,
1635923739665,471,77,290,1323,
1635923739665,297,77,290,1323,
1635923739671,263,77,290,1323,
1635923739678,250,77,290,1323,
1635923739685,257,77,290,1323,
1635923739692,227,77,290,1323,
1635923739699,455,77,290,1323,
1635923739713,293,77,290,1323,
1635923739728,237,77,290,1323,
1635923739742,262,77,290,1323,
1635923739757,288,77,290,1323,
1635923739772,244,77,290,1323,
1635923739772,294,77,290,1323,
1635923739772,268,77,290,1323,
1635923739773,237,77,290,1323,
1635923739773,457,77,290,1323,
1635923739774,260,77,290,1323,
1635923739775,268,77,290,1323,
1635923739776,227,77,290,1323,
1635923739778,244,77,290,1323,
1635923739779,242,77,290,1323,
1635923739781,285,77,290,1323,
1635923739781,231,77,290,1323,
1635923739781,273,77,290,1323,
1635923739781,291,77,290,1323,
1635923739781,446,77,290,1323,
1635923739781,239,77,290,1323,
1635923739787,224,77,290,1323,
1635923739793,267,77,290,1323,
1635923739799,270,77,290,1323,
1635923739805,273,77,290,1323,
1635923739812,465,77,290,1323,
1635923739812,238,77,290,1323,
1635923739812,242,77,290,1323,
1635923739812,299,77,290,1323,
1635923739812,237,77,290,1323,
1635923739813,283,77,290,1323,
1635923739820,267,77,290,1323,
1635923739827,257,77,290,1323,
1635923739834,250,77,290,1323,
1635923739841,302,77,290,1323,
1635923739849,249,77,290,1323,
1635923739849,290,77,290,1323,
1635923739849,261,77,290,1323,
1635923739849,267,77,290,1323,
1635923739849,300,77,290,1323,
1635923739850,292,77,290,1323,
1635923739857,239,77,290,1323,
1635923739864,254,77,290,1323,
1635923739871,306,77,290,1323,
1635923739878,251,77,290,1323,
1635923739886,290,77,290,1323,
1635923739886,288,77,290,1323,
1635923739886,451,77,290,1323,
1635923739887,251,77,290,1323,
1635923739887,305,77,290,1323,
1635923739888,238,77,290,1323,
1635923739895,278,77,290,1323,
1635923739902,298,77,290,1323,
1635923739909,272,77,290,1323,
1635923739916,245,77,290,1323,
1635923739924,261,77,290,1323,
1635923739924,266,77,290,1323,
1635923739924,291,77,290,1323,
1635923739924,291,77,290,1323,
1635923739924,279,77,290,1323,
1635923739925,290,77,290,1323,
1635923739933,259,77,290,1323,
1635923739941,279,77,290,1323,
1635923739950,224,77,290,1323,
1635923739958,259,77,290,1323,
1635923739967,226,77,290,1323,
1635923739973,293,77,290,1323,
1635923739979,249,77,290,1323,
1635923739985,266,77,290,1323,
1635923739991,256,77,290,1323,
1635923739998,275,77,290,1323,
1635923739998,245,77,290,1323,
1635923739999,294,77,290,1323,
1635923739999,292,77,290,1323,
1635923740000,272,77,290,1323,
1635923740001,275,77,290,1323,
1635923740016,273,77,290,1323,
1635923740032,240,77,290,1323,
1635923740048,456,77,290,1323,
1635923740064,247,77,289,1323,
1635923740080,270,77,289,1323,
1635923740081,234,77,289,1323,
1635923740082,286,77,289,1323,
1635923740083,267,77,289,1323,
1635923740084,263,77,289,1323,
1635923740086,458,77,289,1323,
1635923740086,268,77,289,1323,
1635923740086,260,77,289,1323,
1635923740086,265,77,288,1325,
1635923740086,312,77,289,1323,
1635923740086,278,77,289,1323,
1635923740086,468,77,289,1323,
1635923740086,258,77,289,1323,
1635923740086,284,77,289,1323,
1635923740086,230,77,289,1323,
1635923740086,304,77,289,1323,
1635923740092,315,77,289,1323,
1635923740099,235,77,289,1323,
1635923740106,238,78,288,1323,
1635923740113,296,78,288,1323,
1635923740120,275,78,288,1323,
1635923740120,272,78,288,1323,
1635923740120,247,78,288,1323,
1635923740120,234,78,288,1323,
1635923740120,277,78,288,1323,
1635923740120,467,78,288,1323,
1635923740125,468,78,288,1323,
1635923740131,228,78,288,1323,
1635923740136,301,78,288,1323,
1635923740142,282,78,288,1323,
1635923740148,298,78,288,1323,
1635923740155,301,78,288,1323,
1635923740163,463,78,288,1323,
1635923740170,282,75,289,1325,
1635923740178,277,75,287,1323,
1635923740186,280,77,290,1325,
1635923740186,279,76,286,1325,
1635923740186,258,77,292,1322,
1635923740187,224,78,291,1320,
1635923740187,241,79,287,1325,
1635923740188,255,78,293,1324,
1635923740189,270,76,287,1323,
1635923740191,283,74,291,1321,
1635923740193,270,76,285,1329,
1635923740195,297,77,291,1320,
1635923740197,289,78,287,1322,
1635923740202,318,75,292,1326,
1635923740207,291,77,287,1327,
1635923740212,283,76,292,1324,
1635923740217,314,79,291,1322,
1635923740223,298,77,286,1321,
1635923740223,294,77,288,1323,
1635923740223,470,75,289,1323,
1635923740224,244,76,291,1324,
1635923740224,238,76,288,1325,
1635923740225,299,76,288,1325,
1635923740232,286,78,288,1323,
1635923740239,297,77,292,1321,
1635923740247,266,77,290,1324,
1635923740254,269,79,290,1322,
1635923740262,232,78,288,1324,
1635923740262,261,75,290,1324,
1635923740262,301,75,288,1322,
1635923740262,315,75,289,1323,
1635923740262,281,77,288,1322,
1635923740263,316,77,289,1322,
1635923740270,298,77,289,1324,
1635923740277,309,76,289,1325,
1635923740284,271,75,289,1323,
1635923740291,247,77,288,1323,
1635923740299,288,76,289,1321,
1635923740306,260,76,290,1317,
1635923740313,293,78,288,1328,
1635923740321,294,76,289,1333,
1635923740328,277,76,289,1328,
